Ensembl Gene ID	RefSeq mRNA	RefSeq Protein ID	RefSeq Predicted Protein ID
ENSG00000258865	NM_001362	NP_001353	
ENSG00000255738	NM_001040663	NP_001035753	
ENSG00000255738	NM_001040663	NP_001466	
ENSG00000255738	NM_001040663	NP_001465	
ENSG00000255738	NM_001040663	NP_001467	
ENSG00000227268	NM_001126049	NP_001119521	
ENSG00000247097	NM_001080113		
ENSG00000176723	NM_001136509	NP_001129981	
ENSG00000237172	NM_033309	NP_171608	
ENSG00000232371	NM_001080404		
ENSG00000232427	NM_178511	NP_848606	
ENSG00000224420	NM_001101340	NP_001094810	
ENSG00000226894	NM_001129907	NP_001123379	
ENSG00000258664	NM_022347	NP_071742	
ENSG00000258614	NM_001165924	NP_001159396	
ENSG00000258720	NM_001190980	NP_001177909	
ENSG00000258495	NM_001146683	NP_001140155	
ENSG00000151838	NM_001164399	NP_001157871	
ENSG00000259120	NM_001162997	NP_001156469	
ENSG00000258405	NM_001099694	NP_001093164	
ENSG00000258518	NM_001163678	NP_001157150	
ENSG00000258898	NM_001164479	NP_001157951	
ENSG00000258953	NM_001164478	NP_001157950	
ENSG00000257482	NM_001159522	NP_001152994	
ENSG00000198888		YP_003024026	
ENSG00000198763		YP_003024027	
ENSG00000198804		YP_003024028	
ENSG00000198712		YP_003024029	
ENSG00000228253		YP_003024030	
ENSG00000198899		YP_003024031	
ENSG00000198938		YP_003024032	
ENSG00000198840		YP_003024033	
ENSG00000212907		YP_003024034	
ENSG00000198886		YP_003024035	
ENSG00000198786		YP_003024036	
ENSG00000198695		YP_003024037	
ENSG00000198727		YP_003024038	
ENSG00000183130	NM_001001964	NP_001001964	
ENSG00000177151	NM_001001827	NP_001001827	
ENSG00000187701	NM_001001824	NP_001001824	
ENSG00000189181	NM_001004734	NP_001004734	
ENSG00000175137	NM_030645	NP_085148	
ENSG00000175137			
ENSG00000171161	NM_024836	NP_079112	
ENSG00000171161			
ENSG00000171163			
ENSG00000171163	NM_017865	NP_060335	
ENSG00000171163	NM_001193328	NP_001180257	
ENSG00000171163	NM_001136036	NP_060335	
ENSG00000171163	NM_001136036	NP_001129508	
ENSG00000185220	NM_001017434	NP_001017434	
ENSG00000185220	NM_170725	NP_001017434	
ENSG00000185220	NM_170725	NP_733843	
ENSG00000185220		NP_001017434	
ENSG00000153094	NM_138627	NP_619533	
ENSG00000153094	NM_001204111	NP_001191040	
ENSG00000153094	NM_006538	NP_001191040	
ENSG00000153094	NM_001204111	NP_006529	
ENSG00000153094	NM_006538	NP_006529	
ENSG00000153094	NM_138626	NP_619533	
ENSG00000153094	NM_138621	NP_619533	
ENSG00000153094	NM_138627	NP_619532	
ENSG00000153094	NM_138626	NP_619532	
ENSG00000153094	NM_138621	NP_619532	
ENSG00000153094	NM_138627	NP_619527	
ENSG00000153094	NM_138626	NP_619527	
ENSG00000153094	NM_138621	NP_619527	
ENSG00000153094	NM_138623	NP_001191040	
ENSG00000153094	NM_001204111	NP_619529	
ENSG00000153094	NM_138623	NP_619529	
ENSG00000153094	NM_207002	NP_001191040	
ENSG00000153094	NM_001204111	NP_996885	
ENSG00000153094	NM_207002	NP_996885	
ENSG00000153094	NM_001204112	NP_001191041	
ENSG00000153094	NM_001204111	NP_001191041	
ENSG00000153094	NM_001204112	NP_001191040	
ENSG00000153094	NM_001204109	NP_001191038	
ENSG00000153094	NM_138627	NP_001191038	
ENSG00000153094	NM_138626	NP_001191038	
ENSG00000153094	NM_001204109	NP_619533	
ENSG00000153094	NM_001204109	NP_619532	
ENSG00000153094	NM_001204108	NP_001191037	
ENSG00000153094	NM_138627	NP_001191037	
ENSG00000153094	NM_138626	NP_001191037	
ENSG00000153094	NM_138622	NP_001191037	
ENSG00000153094	NM_001204108	NP_619533	
ENSG00000153094	NM_138622	NP_619533	
ENSG00000153094	NM_001204108	NP_619532	
ENSG00000153094	NM_138622	NP_619532	
ENSG00000153094	NM_001204108	NP_619528	
ENSG00000153094	NM_138627	NP_619528	
ENSG00000153094	NM_138626	NP_619528	
ENSG00000153094	NM_138622	NP_619528	
ENSG00000153094	NM_001204110	NP_001191039	
ENSG00000153094	NM_001204106	NP_001191039	
ENSG00000153094	NM_001204110	NP_001191035	
ENSG00000153094	NM_001204106	NP_001191035	
ENSG00000153094	NM_138625	NP_619531	
ENSG00000153094	NM_138624	NP_619533	
ENSG00000153094	NM_138624	NP_619532	
ENSG00000153094	NM_138627	NP_619530	
ENSG00000153094	NM_138626	NP_619530	
ENSG00000153094	NM_138624	NP_619530	
ENSG00000153094	NM_001204107	NP_001191036	
ENSG00000153094	NM_207003	NP_001191036	
ENSG00000153094	NM_001204107	NP_996886	
ENSG00000153094	NM_207003	NP_996886	
ENSG00000153094	NM_001204113	NP_001191042	
ENSG00000153094			
ENSG00000233488			
ENSG00000153107			XP_003118910
ENSG00000153107			XP_002342254
ENSG00000153107			XP_003403908
ENSG00000153107	NM_022662	NP_073153	XP_003118910
ENSG00000153107	NM_022662	NP_073153	XP_002342254
ENSG00000153107	NM_022662	NP_073153	XP_003403908
ENSG00000153107			
ENSG00000258470			
ENSG00000153208	NM_006343	NP_006334	
ENSG00000153208			
ENSG00000153214	NM_032824	NP_116213	
ENSG00000153214			
ENSG00000144152	NM_153214	NP_694946	
ENSG00000144152			
ENSG00000144152	NM_001128165	NP_001121637	
ENSG00000144161	NM_032494	NP_115883	
ENSG00000144161		NP_115883	
ENSG00000188177	NM_198581	NP_940983	
ENSG00000188177			
ENSG00000169629	NM_001164463	NP_001157935	
ENSG00000169629			
ENSG00000181896	NM_033204	NP_149981	
ENSG00000181896			
ENSG00000105708	NM_021030	NP_066358	
ENSG00000081665	NM_001099269	NP_001092739	
ENSG00000081665	NM_001145404	NP_001138876	
ENSG00000081665			
ENSG00000114999	NM_153712	NP_714923	
ENSG00000137962			
ENSG00000137962	NM_004815	NP_004806	
ENSG00000256771	NM_021047	NP_066385	
ENSG00000184635	NM_031218	NP_112495	
ENSG00000184635			
ENSG00000125630	NM_019014	NP_061887	
ENSG00000125630			
ENSG00000125630	NM_001137604	NP_001131076	
ENSG00000197124	NM_033196	NP_149973	
ENSG00000197124	NM_033196	NP_001070817	
ENSG00000197124	NM_001077349	NP_001070817	
ENSG00000197124			
ENSG00000125630		NP_061887	
