"GO.ID","Term","Annotated","Significant","Expected","pval.fis"
"GO:0048856","anatomical structure development",2724,1450,1019.5,"< 1e-30"
"GO:0048731","system development",2574,1384,963.36,"< 1e-30"
"GO:0007275","multicellular organismal development",3049,1582,1141.13,"< 1e-30"
"GO:0032502","developmental process",3654,1827,1367.56,"< 1e-30"
"GO:0009653","anatomical structure morphogenesis",1396,811,522.47,"< 1e-30"
"GO:0048513","organ development",2008,1077,751.52,"< 1e-30"
"GO:0032501","multicellular organismal process",4228,1975,1582.39,"< 1e-30"
"GO:0007399","nervous system development",1144,667,428.16,"< 1e-30"
"GO:0050789","regulation of biological process",6893,2995,2579.8,"< 1e-30"
"GO:0048869","cellular developmental process",1869,991,699.5,"< 1e-30"
"GO:0030154","cell differentiation",1799,960,673.3,"< 1e-30"
"GO:0050794","regulation of cellular process",6632,2889,2482.12,"< 1e-30"
"GO:0065007","biological regulation",7290,3115,2728.39,"< 1e-30"
"GO:0009887","organ morphogenesis",893,524,334.22,"< 1e-30"
"GO:0048468","cell development",959,554,358.92,"< 1e-30"
"GO:0031323","regulation of cellular metabolic process",3348,1571,1253.04,"< 1e-30"
"GO:0019222","regulation of metabolic process",3521,1639,1317.78,"< 1e-30"
"GO:0080090","regulation of primary metabolic process",3200,1501,1197.65,"< 1e-30"
"GO:0001501","skeletal system development",385,262,144.09,"< 1e-30"
"GO:0009888","tissue development",818,474,306.15,"< 1e-30"
"GO:0019219","regulation of nucleobase, nucleoside, nu...",2684,1279,1004.53,"< 1e-30"
"GO:0048522","positive regulation of cellular process",1831,920,685.28,"< 1e-30"
"GO:0051171","regulation of nitrogen compound metaboli...",2715,1289,1016.13,"< 1e-30"
"GO:0048518","positive regulation of biological proces...",2005,993,750.4,"< 1e-30"
"GO:0031326","regulation of cellular biosynthetic proc...",2840,1338,1062.91,"< 1e-30"
"GO:0060255","regulation of macromolecule metabolic pr...",3175,1474,1188.29,"< 1e-30"
"GO:0048598","embryonic morphogenesis",351,240,131.37,"< 1e-30"
"GO:0009889","regulation of biosynthetic process",2854,1342,1068.15,"< 1e-30"
"GO:0022008","neurogenesis",650,388,243.27,"< 1e-30"
"GO:0045449","regulation of transcription",2463,1178,921.81,"< 1e-30"
"GO:0010556","regulation of macromolecule biosynthetic...",2692,1267,1007.52,"1.6e-30"
"GO:0006355","regulation of transcription, DNA-depende...",1736,867,649.72,"3.1e-30"
"GO:0006357","regulation of transcription from RNA pol...",739,424,276.58,"9.5e-30"
"GO:0010468","regulation of gene expression",2735,1281,1023.61,"9.6e-30"
"GO:0048699","generation of neurons",602,359,225.31,"1.2e-29"
