"","GO","Pvalue","OddsRatio","ExpCount","Count","Size","Term","ontology"
"1","GO:0006396",4.44946916751696e-17,4.46262527839644,101.213793103448,154,182,"RNA processing","BP"
"2","GO:0006974",1.15730971534637e-14,2.59088657395774,180.444789586569,246,322,"response to DNA damage stimulus","BP"
"3","GO:0006414",2.62720986460134e-12,5.87548967236467,56.5991420752903,89,101,"translational elongation","BP"
"4","GO:0000279",2.57966555203849e-11,2.35335560449405,161.256948047136,215,288,"M phase","BP"
"5","GO:0008104",3.68169000990967e-11,1.62628470695574,466.24243768952,556,832,"protein localization","BP"
"6","GO:0000278",4.21368588114804e-10,1.97159750466611,215.749204940463,274,385,"mitotic cell cycle","BP"
"7","GO:0006364",7.71042594100466e-10,5.61302957633893,45.3913911692922,71,81,"rRNA processing","BP"
"8","GO:0000375",1.02474718319509e-09,3.11861286142021,82.9373567043858,118,148,"RNA splicing, via transesterification reactions","BP"
"9","GO:0048285",1.64203159447724e-09,2.40091107379312,126.035962705343,169,225,"organelle fission","BP"
"10","GO:0007067",1.71093072596066e-09,2.39864239432274,126.087197692478,169,225,"mitosis","BP"
"11","GO:0034660",2.68325016387091e-09,4.4512750279696,51.3252329481923,78,92,"ncRNA metabolic process","BP"
"12","GO:0022402",4.03920325829648e-09,1.78884657626645,254.40387758134,314,455,"cell cycle process","BP"
"13","GO:0033554",6.90118834532549e-09,1.82443211884836,232.00044375416,288,414,"cellular response to stress","BP"
"14","GO:0008033",1.00033704064104e-08,6.4287424012158,35.8648028991938,57,64,"tRNA processing","BP"
"15","GO:0006082",1.73016236178844e-08,1.8134642451605,222.546876163527,276,398,"organic acid metabolic process","BP"
"16","GO:0051301",2.52724451786822e-08,2.12669928011773,140.096886324976,182,250,"cell division","BP"
"17","GO:0051352",9.09656902035374e-08,5.4254187716033,35.3044153538939,55,63,"negative regulation of ligase activity","BP"
"18","GO:0022900",1.18662797571524e-07,3.36969190585856,56.0387545299904,81,100,"electron transport chain","BP"
"19","GO:0031145",1.42612793876946e-07,5.32606672869866,34.7440278085940,54,62,"anaphase-promoting complex-dependent proteasomal ubiquitin-dependent protein catabolic process","BP"
