"id","desc","ont","hs_psc","hs_hi","mm_psc","mm_hi","patterns","pattern_sums","sums"
"GO:0000002","mitochondrial genome maintenance","BP",0.60521175662764,1,1,0.675308430964017,"0000",0,3.28052018759166
"GO:0000003","reproduction","BP",0.027754314107496,0.0833963016273852,0.999242539225692,0.547034966146049,"1000",1,1.65742812110662
"GO:0000009","alpha-1,6-mannosyltransferase activity","MF",1,1,1,1,"0000",0,4
"GO:0000012","single strand break repair","BP",0.111034852827916,0.0391628268683573,1,1,"0100",1,2.15019767969627
"GO:0000014","single-stranded DNA specific endodeoxyribonuclease activity","MF",1,1,0.243442622950820,1,"0000",0,3.24344262295082
"GO:0000018","regulation of DNA recombination","BP",0.219220991164925,0.637788499449717,0.533837787488627,0.813933668027232,"0000",0,2.2047809461305
"GO:0000019","regulation of mitotic recombination","BP",1,1,0.412472998827377,1,"0000",0,3.41247299882738
"GO:0000022","mitotic spindle elongation","BP",1,1,1,1,"0000",0,4
"GO:0000023","maltose metabolic process","BP",0.207280080889788,1,1,1,"0000",0,3.20728008088979
"GO:0000026","alpha-1,2-mannosyltransferase activity","MF",1,1,1,1,"0000",0,4
"GO:0000027","ribosomal large subunit assembly and maintenance","BP",1,1,0.233475282355119,0.131086835771154,"0000",0,2.36456211812627
"GO:0000028","ribosomal small subunit assembly and maintenance","BP",1,1,1,1,"0000",0,4
"GO:0000030","mannosyltransferase activity","MF",0.889531793918963,0.682011804371133,0.250656728073801,0.436116726026599,"0000",0,2.25831705239050
"GO:0000033","alpha-1,3-mannosyltransferase activity","MF",1,1,1,1,"0000",0,4
"GO:0000035","acyl binding","MF",1,1,1,1,"0000",0,4
"GO:0000036","acyl carrier activity","MF",1,1,1,1,"0000",0,4
"GO:0000038","very-long-chain fatty acid metabolic process","BP",0.192031974157526,0.398050009644503,1,1,"0000",0,2.59008198380203
"GO:0000041","transition metal ion transport","BP",0.752011597855353,1,0.164833645101172,0.758748210750364,"0000",0,2.67559345370689
"GO:0000042","protein targeting to Golgi","BP",0.207280080889788,1,1,1,"0000",0,3.20728008088979
"GO:0000045","autophagic vacuole formation","BP",0.501916811010112,1,0.84470111482167,0.626251318100705,"0000",0,2.97286924393249
"GO:0000046","autophagic vacuole fusion","BP",1,1,0.233475282355119,1,"0000",0,3.23347528235512
"GO:0000049","tRNA binding","MF",0.469524088516139,0.589743974090418,0.450491156108764,0.576648094880676,"0000",0,2.08640731359600
"GO:0000050","urea cycle","BP",1,1,1,1,"0000",0,4
"GO:0000052","citrulline metabolic process","BP",1,1,1,1,"0000",0,4
"GO:0000054","ribosome export from nucleus","BP",1,1,0.412472998827377,0.245011006192269,"0000",0,2.65748400501965
"GO:0000055","ribosomal large subunit export from nucleus","BP",1,1,0.412472998827377,0.245011006192269,"0000",0,2.65748400501965
"GO:0000056","ribosomal small subunit export from nucleus","BP",1,1,0.233475282355119,0.131086835771154,"0000",0,2.36456211812627
"GO:0000059","protein import into nucleus, docking","BP",1,1,1,1,"0000",0,4
"GO:0000060","protein import into nucleus, translocation","BP",0.530203475941311,0.650329220851052,0.873066406301496,0.860503476826363,"0000",0,2.91410257992022
"GO:0000062","acyl-CoA binding","MF",0.62418650839478,1,1,1,"0000",0,3.62418650839478
"GO:0000064","L-ornithine transmembrane transporter activity","MF",1,1,0.243442622950820,1,"0000",0,3.24344262295082
"GO:0000066","mitochondrial ornithine transport","BP",1,1,1,1,"0000",0,4
"GO:0000070","mitotic sister chromatid segregation","BP",0.296990855209428,0.262647498406667,0.88100661986614,0.675308430964017,"0000",0,2.11595340444625
"GO:0000072","M phase specific microtubule process","BP",1,1,1,1,"0000",0,4
"GO:0000075","cell cycle checkpoint","BP",0.69351488145137,0.406830111399981,0.283312306376598,0.0542711199369907,"0000",0,1.43792841916494
"GO:0000076","DNA replication checkpoint","BP",0.60521175662764,0.398050009644503,0.412472998827377,0.0171626653500381,"0001",1,1.43289743044956
"GO:0000077","DNA damage checkpoint","BP",0.66068745964747,0.0956235036598504,0.310989583427769,0.639930847527177,"0000",0,1.70723139426227
"GO:0000079","regulation of cyclin-dependent protein kinase activity","BP",0.726707109312387,0.699450300446793,0.88100661986614,0.282851528057527,"0000",0,2.59001555768285
"GO:0000080","G1 phase of mitotic cell cycle","BP",1,0.752594476050951,0.735524320279223,0.50482295571292,"0000",0,2.99294175204310
"GO:0000082","G1/S transition of mitotic cell cycle","BP",0.972629859452652,0.952687154610348,0.82788291060336,0.704274970957396,"0000",0,3.45747489562376
"GO:0000083","regulation of transcription of G1/S-phase of mitotic cell cycle","BP",1,1,1,1,"0000",0,4
"GO:0000084","S phase of mitotic cell cycle","BP",0.844252235877966,0.637788499449717,0.424358971804282,0.754971168102125,"0000",0,2.66137087523409
"GO:0000085","G2 phase of mitotic cell cycle","BP",0.60521175662764,0.398050009644503,1,1,"0000",0,3.00326176627214
"GO:0000086","G2/M transition of mitotic cell cycle","BP",1,1,0.797330071229538,0.569794295104183,"0000",0,3.36712436633372
"GO:0000087","M phase of mitotic cell cycle","BP",0.101960737762117,0.510410879324356,0.255905340298116,0.0272668769164102,"0001",1,0.895543834301
"GO:0000089","mitotic metaphase","BP",0.0429373368301954,0.224110248976735,0.654889931466869,0.430055340580643,"1000",1,1.35199285785444
"GO:0000090","mitotic anaphase","BP",0.752011597855353,0.533038407449054,1,0.131086835771154,"0000",0,2.41613684107556
"GO:0000095","S-adenosylmethionine transmembrane transporter activity","MF",1,1,1,1,"0000",0,4
"GO:0000096","sulfur amino acid metabolic process","BP",1,1,0.353058737869561,1,"0000",0,3.35305873786956
"GO:0000097","sulfur amino acid biosynthetic process","BP",1,1,0.332352376217450,1,"0000",0,3.33235237621745
"GO:0000098","sulfur amino acid catabolic process","BP",1,1,0.412472998827377,1,"0000",0,3.41247299882738
"GO:0000099","sulfur amino acid transmembrane transporter activity","MF",0.705784583213802,1,1,1,"0000",0,3.7057845832138
"GO:0000101","sulfur amino acid transport","BP",0.501916811010112,1,1,1,"0000",0,3.50191681101011
"GO:0000103","sulfate assimilation","BP",1,1,0.233475282355119,1,"0000",0,3.23347528235512
"GO:0000104","succinate dehydrogenase activity","MF",0.386907229797565,0.224658085333080,1,1,"0000",0,2.61156531513064
"GO:0000114","regulation of transcription during G1 phase of mitotic cell cycle","BP",1,1,1,1,"0000",0,4
"GO:0000122","negative regulation of transcription from RNA polymerase II promoter","BP",0.84117936326073,0.981803916843312,0.345581871557932,0.990420742678396,"0000",0,3.15898589434037
"GO:0000146","microfilament motor activity","MF",0.858868355631644,1,0.567048082314409,1,"0000",0,3.42591643794605
"GO:0000147","actin cortical patch assembly","BP",1,1,1,1,"0000",0,4
"GO:0000149","SNARE binding","MF",0.889531793918963,1,1,1,"0000",0,3.88953179391896
"GO:0000150","recombinase activity","MF",0.216979564711746,1,1,1,"0000",0,3.21697956471175
