chrom	chromStart	chromEnd	name	score	strand	thickStart	thickEnd	reserved	blockCount	blockSizes	chromStarts	lrtAllPValue	lrtAllIsFdr	lrtPrimateBrPValue	lrtPrimateBrIsFdr	lrtPrimateClPValue	lrtPrimateClIsFdr	lrtRodentBrPValue	lrtRodentBrIsFdr	lrtRodentClPValue	lrtRodentClIsFdr	lrtHumanPValue	lrtHumanIsFdr	lrtChimpPValue	lrtChimpIsFdr	lrtHominidPValue	lrtHominidIsFdr	lrtMacaquePValue	lrtMacaqueIsFdr	bestHist	bestHistPP	nextBestHist	nextBestHistPP
chr16	3298429	3306942	vegaGene.OTTHUMT00000156118.1	0	+	3298429	3306942	0	4	408,196,92,30,	0,3324,4248,8483,	1	0	2	0	0.498738	0	2	0	2	0	1	0	1	0	0.499436	0	1	0	0	0	0	0
chr16	1989064	1990257	vegaGene.OTTHUMT00000156115.1.inc	400	-	1989064	1990257	255	2	59,760,	0,433,	0.27407	0	2	0	0.0393368	0	1	0	0.486486	0	0.0902232	0	0.475598	0	2	0	2	0	0	0	0	0
chr16	83291182	83370189	vegaGene.OTTHUMT00000156043.1	0	+	83291182	83370189	0	14	36,69,61,1041,92,110,56,104,100,178,166,145,66,188,	0,33359,40233,44557,58640,59287,59815,60096,62913,64010,68117,72465,75084,78819,	1	0	1	0	0.487928	0	0.499436	0	1	0	1	0	0.377163	0	0.422565	0	1	0	0	0	0	0
chr16	51030637	51138136	vegaGene.OTTHUMT00000155994.1	0	-	51030637	51138136	0	7	744,81,228,270,255,66,87,	0,5051,6769,11052,24709,29284,107412,	1	0	0.494738	0	1	0	0.397598	0	0.498618	0	1	0	1	0	0.498046	0	1	0	0	0	0	0
chr16	67961931	67977288	vegaGene.OTTHUMT00000155970.1.inc	400	-	67961931	67977288	255	5	102,87,131,96,292,	0,1741,14052,14863,15065,	1	0	2	0	1	0	1	0	0.011815	0	0.494302	0	0.486011	0	2	0	2	0	0	0	0	0
chr16	88146920	88150939	vegaGene.OTTHUMT00000155913.1.inc	0	+	88146920	88150939	0	4	124,167,78,144,	0,782,1474,3875,	1	0	0.134089	0	0.489721	0	1	0	1	0	1	0	1	0	0.467294	0	1	0	0	0	0	0
chr16	539451	542497	vegaGene.OTTHUMT00000155909.1.inc	400	+	539451	542497	255	6	21,224,126,153,162,196,	0,164,1851,2061,2600,2850,	1	0	1	0	0.00734007	0	0.413367	0	0.485002	0	2	0	2	0	2	0	0.43618	0	0	0	0	0
chr16	18728391	18778524	vegaGene.OTTHUMT00000155898.1	0	-	18728391	18778524	0	37	78,107,180,107,212,228,180,153,138,470,190,151,227,235,273,280,173,191,219,110,139,249,230,247,223,155,218,162,178,231,139,145,285,249,121,160,146,	0,2192,2379,5606,5871,6733,7722,9933,18462,19717,20357,20650,23371,24635,25323,26364,26791,27684,28445,28788,28982,30129,31996,32639,35860,37884,38247,39648,40380,40668,42498,42749,44014,45087,48601,49453,49987,	1	0	0.1198	0	1	0	1	0	1	0	0.45756	0	0.483411	0	1	0	1	0	0	0	0	0
chr16	86424076	86431552	vegaGene.OTTHUMT00000155887.1	0	-	86424076	86431552	0	7	56,178,150,97,104,124,17,	0,1444,3528,4875,5744,6732,7459,	1	0	2	0	0.491297	0	0.219031	0	0.490645	0	0.491651	0	1	0	2	0	2	0	0	0	0	0
chr16	30297255	30301364	vegaGene.OTTHUMT00000155866.1	400	-	30297255	30301364	255	11	87,91,166,100,102,118,135,124,87,91,18,	0,176,584,1001,1498,2693,2905,3326,3659,3841,4091,	1	0	0.0124799	0	0.437371	0	0.231696	0	1	0	0.468868	0	0.493898	0	1	0	1	0	0	0	0	0
chr16	30363202	30364195	vegaGene.OTTHUMT00000155864.1	0	-	30363202	30364195	0	1	993,	0,	1	0	1	0	1	0	0.163372	0	0.489149	0	0.491009	0	0.495082	0	1	0	1	0	0	0	0	0
chr16	66536768	66559957	vegaGene.OTTHUMT00000155857.1	0	-	66536768	66559957	0	22	189,108,132,170,196,169,105,120,99,119,175,58,99,165,215,242,131,55,147,132,95,115,	0,399,586,806,1073,1572,1966,2304,2696,4435,4954,5289,5597,5775,6458,6819,9278,12377,12533,16210,18100,23074,	1	0	1	0	0.418284	0	0.326522	0	0.329051	0	2	0	2	0	2	0	0.358148	0	0	0	0	0
chr16	2160684	2166576	vegaGene.OTTHUMT00000155820.1	400	+	2160684	2166576	255	17	48,93,34,184,135,218,74,49,128,83,40,117,123,120,132,120,15,	0,581,889,1508,1782,2499,2798,3105,3238,3568,4428,4618,4817,5151,5366,5582,5877,	0.43316	0	1	0	1	0	0.0120481	0	0.485205	0	0.46641	0	0.492142	0	1	0	1	0	0	0	0	0
chr16	24459469	24459643	vegaGene.OTTHUMT00000155814.1.inc	400	+	24459469	24459643	255	1	174,	0,	0.0213	0	0.419215	0	1	0	2	0	2	0	1	0	1	0	1	0	1	0	0	0	0	0
chr16	55612125	55619572	vegaGene.OTTHUMT00000155696.1	0	+	55612125	55619572	0	5	295,60,69,1651,88,	0,1543,3072,4655,7359,	1	0	2	0	0.39907	0	2	0	2	0	1	0	0.480173	0	1	0	1	0	0	0	0	0
chr16	55209637	55210122	vegaGene.OTTHUMT00000155628.1	400	+	55209637	55210122	255	2	20,121,	0,364,	0.03814	0	2	0	2	0	2	0	2	0	0.0869359	0	1	0	2	0	2	0	0	0	0	0
chr16	5034349	5056024	vegaGene.OTTHUMT00000155573.1	0	-	5034349	5056024	0	8	131,87,105,136,118,151,150,322,	0,3530,10898,11705,14145,15938,18077,21353,	0.33536	0	2	0	2	0	2	0	2	0	0.155048	0	0.400573	0	2	0	2	0	0	0	0	0
chr16	30023786	30032207	vegaGene.OTTHUMT00000155570.1.inc	400	-	30023786	30032207	255	10	45,52,60,134,90,119,46,136,43,46,	0,3248,3408,6423,7167,7341,7558,7693,8057,8375,	0.45188	0	0.366684	0	0.487784	0	0.00260718	0	1	0	2	0	2	0	2	0	1	0	0	0	0	0
chr16	1824257	1858177	vegaGene.OTTHUMT00000155568.1	0	-	1824257	1858177	0	12	111,184,154,102,96,53,101,196,73,132,58,69,	0,4999,7564,10606,18783,18963,19844,23479,26147,27729,31522,33851,	1	0	0.211989	0	1	0	1	0	0.458432	0	0.374814	0	1	0	1	0	0.409806	0	0	0	0	0
chr16	3233141	3246588	vegaGene.OTTHUMT00000155503.1	0	-	3233141	3246588	0	9	554,33,33,116,23,231,96,350,277,	0,719,1113,1332,3384,3875,5768,6290,13170,	0.16682	0	2	0	1	0	2	0	2	0	0.484791	0	0.469155	0	1	0	0.375294	0	0	0	0	0
chr16	45299116	45339606	vegaGene.OTTHUMT00000155471.1	0	-	45299116	45339606	0	13	60,133,153,129,71,142,110,94,106,461,433,91,477,	0,1835,2933,4944,13419,19532,21320,21890,22889,24504,30007,32353,40013,	0.45454	0	2	0	1	0	2	0	1	0	1	0	0.476978	0	0.0805552	0	1	0	0	0	0	0
chr16	29954168	29955228	vegaGene.OTTHUMT00000155433.1	400	-	29954168	29955228	255	2	135,252,	0,808,	0.0024	0	2	0	2	0	2	0	2	0	1	0	0.486651	0	2	0	2	0	0	0	0	0
chr16	76316862	76333276	vegaGene.OTTHUMT00000155421.1.inc	0	+	76316862	76333276	0	3	120,159,297,	0,10363,16117,	1	0	0.198321	0	0.447202	0	0.477026	0	0.259221	0	1	0	1	0	0.459738	0	1	0	0	0	0	0
chr16	66259465	66260004	vegaGene.OTTHUMT00000155419.1	0	+	66259465	66260004	0	2	37,401,	0,138,	1	0	0.490921	0	1	0	0.394026	0	1	0	0.42572	0	1	0	1	0	1	0	0	0	0	0
chr16	30455272	30455476	vegaGene.OTTHUMT00000155410.1	400	+	30455272	30455476	255	1	204,	0,	0.00696	0	2	0	2	0	2	0	2	0	1	0	0.0830399	0	2	0	2	0	0	0	0	0
chr16	8559775	8562225	vegaGene.OTTHUMT00000155390.1	0	-	8559775	8562225	0	2	233,136,	0,2314,	1	0	1	0	0.0528719	0	1	0	0.185381	0	0.121169	0	1	0	0.486	0	0.483297	0	0	0	0	0
chr16	30841417	30841786	vegaGene.OTTHUMT00000155388.1	0	-	30841417	30841786	0	1	369,	0,	0.15016	0	2	0	2	0	2	0	2	0	1	0	0.151755	0	2	0	2	0	0	0	0	0
chr16	21983250	21994520	vegaGene.OTTHUMT00000155354.1.inc	0	+	21983250	21994520	0	2	10,212,	0,11058,	1	0	2	0	1	0	2	0	2	0	1	0	1	0	2	0	2	0	0	0	0	0
chr16	15623215	15637622	vegaGene.OTTHUMT00000155326.1.inc	0	-	15623215	15637622	0	9	54,124,159,158,173,118,227,175,609,	0,1076,2911,3158,8474,9523,11759,12899,13798,	1	0	2	0	1	0	2	0	2	0	0.478037	0	0.472262	0	0.498216	0	0.445934	0	0	0	0	0
chr16	79633392	79636076	vegaGene.OTTHUMT00000155265.1	0	+	79633392	79636076	0	2	194,1810,	0,874,	1	0	0.135702	0	0.0602499	0	2	0	2	0	1	0	1	0	1	0	0.465333	0	0	0	0	0
chr16	30877939	30884175	vegaGene.OTTHUMT00000155260.1.inc	0	+	30877939	30884175	0	5	69,271,122,230,742,	0,2149,4315,4976,5494,	1	0	2	0	0.492389	0	1	0	0.494985	0	1	0	1	0	2	0	2	0	0	0	0	0
chr16	71019279	71019585	vegaGene.OTTHUMT00000155231.1	0	+	71019279	71019585	0	1	306,	0,	0.06352	0	2	0	2	0	2	0	2	0	0.499436	0	0.357715	0	2	0	2	0	0	0	0	0
chr16	34070637	34070997	vegaGene.OTTHUMT00000155226.1	400	-	34070637	34070997	255	1	360,	0,	0.03089	0	2	0	2	0	2	0	2	0	0.189039	0	1	0	2	0	2	0	0	0	0	0
