Gene,ENS ref,refseq match,gene symbol,# nucleotides,log likelihood dN/dS >= 0,log likelihood dN/dS=1,p-value for likelihood ratio test of dN/dS=1 versus dN/dS > 1.  Test not performed for data genes with 2 mutations or less or less than 50 codons. p=1 indicates that dN/dS < 1.,included in restrictive data set?
HC1,ENSG00000173275,NM_152695,FLJ23614,1344,-1815.84,-1816.84,1,yes
HC2,,XM_045283,,477,-635.394,-635.745,,no
HC3,ENSG00000082898,NM_003400,XPO1,1377,-1841.79,-1845.38,1,yes
HC4,ENSG00000132153,"NM_014966,NM_138615",DDX30,2718,-3595.94,-3603.1,1,yes
HC5,ENSG00000174417,NM_003301,TRHR,1185,-1626.17,-1632.15,1,yes
HC6,ENSG00000155097,NM_001695,ATP6V1C1,1107,-1461.28,-1462.5,,yes
HC7,ENSG00000164794,NM_014379,KCNV1,1356,-1833.33,-1834.35,1,yes
HC8,ENSG00000176406,NM_014677,RIMS2,2253,-3054.57,-3059.07,1,yes
HC9,ENSG00000153467,"NM_004367,NM_031409",CCR6,1113,-1537.79,-1540.61,1,yes
HC10,ENSG00000112577,NM_005618,DLL1,1557,-2050.54,-2062.11,1,yes
HC11,ENSG00000186340,NM_003247,THBS2,2382,-3153.44,-3164.19,1,yes
HC12,ENSG00000162066,NM_015944,CGI-14,558,-736.744,-739.18,1,yes
HC13,ENSG00000179702,NM_015582,DKFZP564B147,222,-298.812,-299.167,,yes
HC14,ENSG00000122299,NM_014153,,351,-458.235,-458.235,,yes
HC15,ENSG00000185338,NM_003745,SOCS1,171,-196.871,-199.281,,yes
HC16,ENSG00000076770,NM_018388,MBNL3,663,-906.029,-906.887,1,yes
HC17,ENSG00000147257,NM_004484,GPC3,735,-1014.42,-1017.24,1,yes
HC18,ENSG00000109854,NM_006410,HTATIP2,723,-985.486,-986.244,,yes
HC19,ENSG00000188680,NM_000648,CCR2,1077,-1490.25,-1496.1,1,no
HC20,ENSG00000048462,NM_001192,TNFRSF17,480,-651.261,-651.261,,yes
HC21,ENSG00000090447,NM_003223,TFAP4,408,-480.763,-481.491,,yes
HC22,,,ZNF205,1626,-2168.24,-2176.53,1,no
HC23,ENSG00000103351,,KIAA0643,738,-973.535,-973.543,1,yes
HC24,ENSG00000144791,NM_014240,LIMD1,1233,-1695.14,-1695.22,0.511703,yes
HC25,ENSG00000186448,NM_018651,ZFP,2094,-2902.87,-2904.57,1,yes
HC26,ENSG00000185784,,KIAA1194,240,-349.152,-350.275,1,no
HC27,ENSG00000184857,NM_015421,DKFZP564K2062,636,-880.623,-882.514,1,yes
HC28,ENSG00000183454,NM_000833,GRIN2A,3984,-5451.16,-5458.75,1,yes
HC29,ENSG00000186261,NM_001424,EMP2,492,-665.307,-666.031,1,yes
HC30,,,KCNC1,1158,-1500.93,-1506.14,1,yes
HC31,ENSG00000110696,NM_014267,SMAP,522,-663.083,-663.083,,yes
HC32,ENSG00000160801,NM_000316,PTHR1,918,-1226.29,-1227.76,,yes
HC33,ENSG00000168264,NM_182972,,702,-963.823,-967.379,1,yes
HC34,ENSG00000158813,NM_001399,ED1,561,-762.137,-763.363,,yes
HC35,ENSG00000117114,NM_012302,LPHN2,3453,-4720.1,-4723.98,1,yes
HC36,ENSG00000184281,NM_005706,TSSC4,189,-233.503,-235.053,,yes
HC37,,,CGI-19,990,-1354.85,-1356.84,1,yes
HC38,ENSG00000173409,NM_022786,ARV1,795,-1100.5,-1103.19,1,yes
HC39,ENSG00000096696,NM_004415,DSP,7254,-9889.27,-9909.31,1,yes
HC40,ENSG00000119318,NM_002874,RAD23B,510,-666.639,-666.987,,yes
HC41,ENSG00000116906,NM_014236,GNPAT,1833,-2520.8,-2521.6,1,yes
HC42,,,KIAA1309,1356,-1861.37,-1863.34,1,yes
HC43,ENSG00000116918,NM_005999,TSNAX,588,-790.939,-792.25,,yes
HC44,ENSG00000162065,,,1269,-1642.02,-1648.42,1,no
HC45,ENSG00000072694,NM_004001,FCGR2B,828,-1130.8,-1135.92,1,yes
HC46,ENSG00000101981,NM_000133,F9,1110,-1487.49,-1487.77,,yes
HC47,ENSG00000129682,NM_004114,FGF13,690,-923.145,-923.145,,yes
HC48,ENSG00000162733,NM_006182,DDR2,2322,-3154.14,-3157.88,1,yes
HC49,,NM_006627,POP4,327,-442.529,-443.723,,yes
HC50,ENSG00000166181,NM_006595,,1263,-1693.31,-1694.54,,yes
HC51,ENSG00000085117,NM_002231,KAI1,396,-510.682,-517.447,1,yes
HC52,ENSG00000143842,NM_005686,SOX13,1185,-1564.44,-1568.09,1,yes
HC53,ENSG00000128683,NM_000817,GAD1,1527,-2119.66,-2124.48,1,yes
HC54,ENSG00000133878,NM_024025,MGC1136,195,-243.408,-243.408,,yes
HC55,ENSG00000138398,NM_004792,PPIG,1623,-2034.56,-2034.81,1,yes
HC56,,,SETMAR,852,-1162.89,-1165.53,,yes
HC57,ENSG00000116264,NM_018836,SHREW1,609,-841.978,-848.697,1,yes
HC58,ENSG00000133703,NM_004985,KRAS2,147,,,,yes
HC59,ENSG00000135744,NM_000029,AGT,1092,-1506.27,-1517.53,1,yes
HC60,ENSG00000173477,XM_375850,,405,-584.65,-586.584,1,no
HC61,ENSG00000155868,NM_004270,CRSP9,597,-785.44,-786.875,,yes
HC62,ENSG00000143799,NM_001618,ADPRT,2340,-3182.72,-3190.62,1,yes
HC63,ENSG00000184942,,PRO1386,222,-309.501,-310.072,,no
HC64,ENSG00000170214,NM_000679,ADRA1B,1056,-1379.84,-1386.49,1,yes
HC65,ENSG00000118322,NM_025153,FLJ21477,1359,-1906.67,-1909.45,1,yes
HC66,,NM_017431,PRKAG3,1263,-1732.12,-1732.12,1,yes
HC67,ENSG00000005084,NM_021994,ZNF277,1008,-1358.06,-1359.98,1,yes
HC68,ENSG00000128512,NM_014705,DOCK4,2256,-3120.5,-3125.3,1,yes
HC69,,,,288,-402.78,-402.82,0.506944,no
HC70,ENSG00000169855,NM_002941,,3696,-5100.29,-5105.68,1,yes
HC71,ENSG00000114013,"NM_006889,NM_175862",CD86,861,-1183.81,-1183.82,0.618717,yes
HC72,,,,864,-1150.16,-1150.16,,yes
HC73,ENSG00000175084,NM_001927,DES,492,-607.621,-611.44,,yes
HC74,ENSG00000123999,NM_002191,INHA,966,-1300.53,-1301.45,1,yes
HC75,ENSG00000102010,"NM_001721,NM_203281",BMX,1389,-1891.95,-1893.79,1,yes
HC76,ENSG00000014257,NM_001099,ACPP,840,-1172.77,-1172.8,1,yes
HC77,ENSG00000073849,"NM_003032,NM_173216",SIAT1,780,-1066.25,-1068.34,1,yes
HC78,ENSG00000101958,NM_002063,GLRA2,654,-880.648,-880.648,,yes
HC79,,,NRG1,648,-902.706,-902.706,1,yes
HC80,ENSG00000091527,NM_017548,H41,384,-497.937,-497.937,,yes
HC81,ENSG00000181744,NM_173552,,591,-784.343,-784.408,1,yes
HC82,ENSG00000158092,NM_006153,NCK1,540,-718.451,-719.789,,yes
HC83,ENSG00000060982,NM_005504,BCAT1,1011,-1386.49,-1387.39,1,yes
HC84,ENSG00000114019,NM_016201,,1683,-2211.55,-2212,1,yes
HC85,ENSG00000157110,NM_006867,RBPMS,399,-541.393,-542.463,,yes
HC86,ENSG00000112079,NM_007271,STK38,1272,-1707.97,-1708.29,,yes
HC87,ENSG00000112081,NM_003017,SFRS3,237,-329.307,-331.8,,yes
HC88,ENSG00000114686,NM_007208,MRPL3,933,-1270.21,-1270.46,,yes
HC89,,,ATP2C1,1956,-2631.31,-2632.21,0.340599,yes
HC90,ENSG00000137309,"NM_002131,NM_145899,NM_145901,NM_145902,NM_145903,NM_145904,NM_145905",HMGA1,231,-285.499,-285.499,,yes
HC91,ENSG00000065029,NM_003427,ZNF76,1320,-1833.16,-1835.01,1,yes
HC92,ENSG00000163171,NM_006449,CDC42EP3,396,-543.909,-546.453,,yes
HC93,ENSG00000114200,NM_000055,BCHE,1584,-2176.66,-2177.81,1,yes
HC94,ENSG00000138376,NM_000465,BARD1,1638,-2263.55,-2264.91,1,yes
HC95,ENSG00000030419,NM_016260,ZNFN1A2,1137,-1517.9,-1517.9,,yes
HC96,ENSG00000144451,NM_024532,,198,-248.076,-248.076,,yes
HC97,ENSG00000182195,NM_012317,LDOC1,243,-325.093,-326.233,1,yes
HC98,ENSG00000078596,NM_004867,ITM2A,609,-831.184,-834.999,1,yes
HC99,ENSG00000122145,NM_016954,TBX22,1131,-1592.84,-1595.61,1,yes
HC100,ENSG00000115009,NM_004591,CCL20,276,-392.097,-392.98,1,yes
HC101,ENSG00000125675,NM_007325,GRIA3,2016,-2804.79,-2810.4,1,yes
HC102,ENSG00000101966,NM_001167,,948,-1273.71,-1274.03,,yes
HC103,ENSG00000047849,NM_002375,MAP4,1143,-1562.31,-1564.52,1,yes
HC104,ENSG00000112095,NM_002119,HLA-DOA,744,-1005.98,-1010.33,1,yes
HC105,,NM_015381,,273,-350.398,-350.398,,yes
HC106,ENSG00000100426,XM_376023,ZBED4,2787,-3869.01,-3877.35,1,no
HC107,,NM_016265,GIOT-3,1449,-2034.06,-2037.47,1,no
HC108,ENSG00000103274,NM_002484,NUBP1,756,-1044.31,-1044.32,0.638012,yes
HC109,ENSG00000153060,NM_144674,FLJ32871,1308,-1763.03,-1768.88,1,yes
HC110,,NM_175058,,2370,-3237,-3244.08,1,yes
HC111,ENSG00000105989,NM_003391,WNT2,822,-1119.52,-1119.76,,no
HC112,ENSG00000128534,NM_016200,LSM8,195,-258.094,-258.094,,yes
HC113,ENSG00000183023,NM_021097,SLC8A1,2400,-3269.54,-3271.41,1,yes
HC114,ENSG00000116574,NM_021205,ARHU,246,-337.929,-340.643,,yes
HC115,ENSG00000104549,NM_003129,SQLE,510,-692.02,-692.299,,yes
HC116,,,,279,-355.147,-355.161,0.626377,no
HC117,,,POLR2K,150,-191.442,-191.442,,yes
HC118,ENSG00000110887,NM_001917,DAO,879,-1224.8,-1225.88,1,yes
HC119,ENSG00000120963,NM_016096,LOC51123,93,,,,no
HC120,ENSG00000048392,NM_015713,,807,-1088.18,-1088.85,,yes
HC121,,,RFX4,96,,,,yes
HC122,ENSG00000136044,NM_018171,DIP13B,1374,-1870.94,-1871.84,1,yes
HC123,ENSG00000166833,NM_145117,NAV2,2601,-3563.5,-3573.74,1,yes
HC124,ENSG00000109851,XM_061930,,552,-690.996,-690.996,,no
