HCMtranscript no.	"Accession no (human,chimp,mouse)"	LocusLink ID	gene symbol	Panther Molecular function	Panther Biological Process	P-value model 1 (dN/dS) human (two-sided)	P-value model 1 (dN/dS) chimp (two-sided)	"P-value model 1 (dN/dS) human (one-sided, test for pos selection)"	"P-value model 1 (dN/dS) chimp (one-sided, test for pos selection)"	dS_human	dN_human	dN/dS human	dS_chimp	dN_chimp	dN/dS chimp	% GC	% ALU	% MIR	% SINEs	% L1	% L2	% LINEs	% MaLR	% ERVL	% ERV1	% ERVK	% LTR elements	% MER1	% MER2	% DNA Elements	% Mariner	% T2	% Tc2	% Low Complexity	% Satellite	% Simple	% Unknown	% rRNA	% scRNA	% snRNA	% tRNA	% RNA elements	Model 2 (M2) p-value human	Model 2 (M2) p-value chimp	M2_LR	M2_L_3	M2_Mu_3	M2_p0_3	M2_p1_3	M2_L_2	M2_Mu_2	M2_P0_2	local cM/Mb (from Kong et al.)	Chromosome (Chr)	Gene Start on Chr
HCM1246	"AY402504,AY402505,AY402506"	55722		Molecular function unclassified	Biological process unclassified	2.89E-02	2.01E-03	2.89E-02	1.00E+00	1.10E-04	1.47E-02	1.34E+02	1.97E-02	6.95E-05	3.53E-03	54	3.85	0.92	4.77	13.37	0.12	13.49	3.08	0.24	1.13	0	4.45	0.11	0.5	0.61	0	0	0	0.28	0	1.79	0	0	0	0	0	0	5.52E-03	3.79E-01	3.23E+00	-3074.366	1.18E+00	1.00E-04	1.00E-04	-3077.595	1.40E+00	8.98E-01	3.5	5	913369
HCM1947	"AY404607,AY404608,AY404609"			Molecular function unclassified	Biological process unclassified	3.35E-02	2.74E-02	3.35E-02	2.74E-02	1.31E-05	1.31E-02	1.00E+03	1.44E-05	1.44E-02	1.00E+03	42	10.73	3.82	14.55	8.1	7.4	15.5	1.84	0.4	0	0	2.24	1.98	2.74	4.72	0.07	0	0	0.26	0	0.46	0	0	0	0	0	0	1.93E-02	1.00E+00	2.14E+00	-1222.87	8.15E-01	1.00E-04	3.27E-04	-1225.008	8.07E-01	2.45E-01	0.68	1	46007166
HCM1634	"AY403668,AY403669,AY403670"	1046	CDX4	Homeotic transcription factor->Transcription factor	"Gut mesoderm development->Mesoderm development->Developmental processes;mRNA transcription regulation->mRNA transcription->Nucleoside, nucleotide and nucleic acid metabolism"	3.95E-02	4.97E-01	3.95E-02	1.00E+00	8.75E-06	8.75E-03	1.00E+03	1.21E-04	1.21E-08	1.00E-04	38	1.88	1.77	3.65	23.79	1.38	25.17	3.78	0	0.19	0.11	4.08	0.19	0	0.19	0	0	0	0.1	0	0.34	0	0	0	0	0	0	1.57E-03	3.96E-01	4.36E+00	-1553.68	8.08E-01	2.54E-04	1.00E-04	-1558.041	8.00E-01	2.20E+00	0.14	X	66583501
HCM2202	"AY405372,AY405373,AY405374"	26148		Molecular function unclassified	Biological process unclassified	4.08E-02	4.54E-01	4.08E-02	4.54E-01	1.34E-04	5.93E-03	4.43E+01	3.67E-06	4.48E-05	1.22E+01	39	18.73	0.8	19.53	14.81	2.32	17.13	2.46	0	0.86	0	3.32	1.76	1.31	3.07	0	0	0	0.48	0	0.7	0	0	0	0	0	0	2.48E-02	1.00E+00	1.93E+00	-2530.653	1.51E+00	2.08E-04	2.88E-04	-2532.582	1.50E+00	6.91E-01	1.15	10	98575936
HCM1427	"AY403047,AY403048,AY403049"			Glycosyltransferase->Transferase	Protein glycosylation->Protein modification->Protein metabolism and modification;Other polysaccharide metabolism->Carbohydrate metabolism	4.48E-02	2.28E-01	4.48E-02	2.28E-01	2.50E-05	2.50E-02	1.00E+03	5.40E-06	5.40E-03	1.00E+03	44	16.37	1.5	17.87	12.97	1.92	14.89	6.47	2.72	6.26	0.53	15.98	0.61	0.33	0.94	0	0	0	0.58	0	0.98	0	0	0	0	0	0	1.12E-02	1.00E+00	2.61E+00	-607.1181	1.47E+00	1.14E-04	1.00E-04	-609.7259	1.40E+00	8.64E-01	2.72	7	149623920
HCM4577	"AY412497,AY412498,AY412499"			Molecular function unclassified	Biological process unclassified	4.86E-02	1.13E-01	4.86E-02	1.13E-01	6.64E-06	6.64E-03	1.00E+03	3.62E-06	3.62E-03	1.00E+03	38	13.14	2.04	15.18	13.48	6.03	19.51	3.05	1.34	0.56	0	4.95	0.94	0.49	1.43	0	0	0	0.64	0	0.56	0	0	0	0	0	0	1.89E-02	1.73E-01	2.16E+00	-2057.036	1.06E+00	1.00E-04	2.07E-04	-2059.191	1.06E+00	4.43E-01	0.85	1	85153854
HCM5700	"AY415866,AY415867,AY415868"	56521		Other chaperones->Chaperone	Miscellaneous	5.16E-02	4.11E-01	5.16E-02	4.11E-01	9.48E-06	9.48E-03	1.00E+03	2.50E-06	4.51E-05	1.80E+01	42	28.29	2.18	30.47	7.71	3.19	10.9	5.11	1.02	3.63	0	9.76	2.07	0	2.07	0	0	0	0.7	0	1.66	0	0	0	0.15	0	0.15	2.69E-02	1.00E+00	1.86E+00	-1179.774	9.40E-01	1.30E-04	1.00E-04	-1181.632	9.30E-01	1.19E+00	1.09	10	67007708
HCM6712	"AY418902,AY418903,AY418904"	5241	PGR	Nuclear hormone receptor->Transcription factor;Nuclear hormone receptor->Receptor	"Other neuronal activity->Neuronal activities;Other oncogenesis->Oncogenesis;Steroid hormone-mediated signaling->Cell communication->Signal transduction;mRNA transcription regulation->mRNA transcription->Nucleoside, nucleotide and nucleic acid metabolism"	5.17E-02	2.40E-01	5.17E-02	1.00E+00	1.32E-04	7.39E-03	5.60E+01	2.60E-03	6.01E-04	2.31E-01	38	5.47	2.61	8.08	11.3	5.92	17.22	3.44	0	0	0	3.44	1.87	1.6	3.47	0	0	0	0.68	0	0.34	0	0	0	0	0	0	1.05E-03	1.00E+00	4.73E+00	-2562.807	8.84E-01	1.76E-04	1.00E-04	-2567.539	8.78E-01	1.60E+00	0.64	11	97853822
HCM7533	"AY421365,AY421366,AY421367"			Other transferase->Transferase	Biological process unclassified	5.42E-02	4.78E-01	5.42E-02	1.00E+00	8.14E-05	3.84E-03	4.72E+01	2.02E-04	2.02E-08	1.00E-04	54	33.03	0.86	33.89	1.32	1.92	3.24	0.16	1.65	0.69	0.98	3.48	0.3	0.37	0.67	0	0	0	0.66	0	0.76	0	0	0	0	0	0	5.02E-02	4.01E-01	1.35E+00	-514.8513	8.61E-01	7.22E-02	1.00E-04	-516.2013	8.66E-01	7.22E+02	1.89	16	5059378
HCM2002	"AY404772,AY404773,AY404774"			Molecular function unclassified	Biological process unclassified	5.46E-02	2.44E-01	5.46E-02	2.44E-01	2.97E-05	2.97E-02	1.00E+03	5.80E-06	5.80E-03	1.00E+03	41	5.26	2.18	7.44	17.66	4.16	21.82	2.33	0	0	0	2.33	0.4	0.81	1.21	0.05	0	0	0.47	0	0.52	0	0	0	0	0	0	1.21E-03	6.66E-02	4.60E+00	-413.2312	1.04E+00	3.24E-04	1.00E-04	-417.8298	9.94E-01	1.79E+00	1.36	2	69939392
