Ensembl Gene ID	Ensembl Protein Family ID(s)
ENSG00000133059	ENSFM00250000003715
ENSG00000123700	ENSFM00630001050541
ENSG00000205683	ENSFM00250000001095
ENSG00000170423	ENSFM00250000000206
ENSG00000183150	ENSFM00250000007691
ENSG00000125398	ENSFM00500000269754
ENSG00000173065	ENSFM00250000005632
ENSG00000230610	ENSFM00550000762106
ENSG00000204084	ENSFM00500000270009
ENSG00000103202	ENSFM00500000271682
ENSG00000131013	ENSFM00250000003289
ENSG00000106484	ENSFM00250000004943
ENSG00000162434	ENSFM00250000000777
ENSG00000081791	ENSFM00250000008341
ENSG00000144580	ENSFM00250000003942
ENSG00000132591	ENSFM00250000003866
ENSG00000258947	ENSFM00250000000193
ENSG00000077080	ENSFM00420000140622
ENSG00000100298	ENSFM00500000275198
ENSG00000185527	ENSFM00620001001838
ENSG00000008710	ENSFM00250000002196
ENSG00000150275	ENSFM00410000138518
ENSG00000204237	ENSFM00560000772519
ENSG00000185298	ENSFM00250000008920
ENSG00000161202	ENSFM00250000001001
ENSG00000214087	ENSFM00500000277307
ENSG00000224975	ENSFM00550000764654
ENSG00000235531	ENSFM00550000751909
ENSG00000115556	ENSFM00270000056433
ENSG00000185359	ENSFM00500000271438
ENSG00000186710	ENSFM00500000278697
ENSG00000102225	ENSFM00420000140530
ENSG00000188517	ENSFM00500000271217
ENSG00000226907	ENSFM00500000275019
ENSG00000100307	ENSFM00500000273815
ENSG00000144747	ENSFM00250000005772
ENSG00000178860	ENSFM00500000273679
ENSG00000123064	ENSFM00260000050827
ENSG00000175793	ENSFM00250000000482
ENSG00000177984	ENSFM00500000276617
ENSG00000132466	ENSFM00570000851148
ENSG00000133069	ENSFM00250000001324
ENSG00000101935	ENSFM00250000004013
ENSG00000203546	ENSFM00630001064404
ENSG00000142751	ENSFM00500000270428
ENSG00000131620	ENSFM00250000000240
ENSG00000159788	ENSFM00250000000973
ENSG00000163138	ENSFM00250000008316
ENSG00000180929	ENSFM00500000277544
ENSG00000100311	ENSFM00500000272092
ENSG00000180176	ENSFM00250000000576
ENSG00000170421	ENSFM00250000000206
ENSG00000172954	ENSFM00500000270992
ENSG00000163545	ENSFM00500000270324
ENSG00000029559	ENSFM00500000274005
ENSG00000160117	ENSFM00250000007483
ENSG00000067836	ENSFM00250000005331
ENSG00000130810	ENSFM00500000270746
ENSG00000198746	ENSFM00250000006115
ENSG00000196400	ENSFM00420000140850
ENSG00000172014	ENSFM00570000851034
ENSG00000167371	ENSFM00500000274820
ENSG00000131738	ENSFM00440000236862
ENSG00000106992	ENSFM00570000851228
ENSG00000118705	ENSFM00250000002871
ENSG00000005882	ENSFM00500000269765
ENSG00000138395	ENSFM00420000140530
ENSG00000162873	ENSFM00250000004061
ENSG00000119686	ENSFM00500000270147
ENSG00000137672	ENSFM00520000517791
ENSG00000076108	ENSFM00250000001507
ENSG00000133328	ENSFM00500000271831
ENSG00000022567	ENSFM00500000272076
ENSG00000184924	ENSFM00500000274948
ENSG00000104321	ENSFM00390000126399
ENSG00000132589	ENSFM00250000001355
ENSG00000183291	ENSFM00500000274344
ENSG00000156269	ENSFM00250000002819
ENSG00000146385	ENSFM00630001050571
ENSG00000176485	ENSFM00500000271831
ENSG00000172977	ENSFM00640001103050
ENSG00000186007	ENSFM00500000277761
ENSG00000122254	ENSFM00250000001060
ENSG00000133195	ENSFM00250000003800
ENSG00000146383	ENSFM00630001050571
ENSG00000075711	ENSFM00250000000275
ENSG00000196475	ENSFM00250000000915
ENSG00000135569	ENSFM00630001050571
ENSG00000196312	ENSFM00250000001780
ENSG00000146378	ENSFM00630001050563
ENSG00000061337	ENSFM00600000921222
ENSG00000147654	ENSFM00250000007576
ENSG00000163297	ENSFM00250000001590
ENSG00000071282	ENSFM00520000517829
ENSG00000165272	ENSFM00250000001065
ENSG00000138092	ENSFM00250000008026
ENSG00000180616	ENSFM00500000269722
ENSG00000166685	ENSFM00250000006600
ENSG00000159239	ENSFM00250000013526
ENSG00000090273	ENSFM00250000003546
ENSG00000122862	ENSFM00500000288039
ENSG00000255561	ENSFM00250000007551
ENSG00000257115	ENSFM00560000770979
ENSG00000183048	ENSFM00500000270452
ENSG00000222036	ENSFM00500000270649
ENSG00000117266	ENSFM00420000140530
ENSG00000005448	ENSFM00250000008548
ENSG00000133193	ENSFM00510000503052
ENSG00000136943	ENSFM00250000000108
ENSG00000233312	ENSFM00250000000285
ENSG00000137720	ENSFM00250000009951
ENSG00000189233	ENSFM00250000013692
ENSG00000141219	ENSFM00250000006785
ENSG00000165066	ENSFM00500000274124
ENSG00000124780	ENSFM00640001103093
ENSG00000152595	ENSFM00250000006210
ENSG00000129480	ENSFM00500000272886
ENSG00000111186	ENSFM00500000269585
ENSG00000168546	ENSFM00500000269996
ENSG00000184743	ENSFM00250000001436
ENSG00000214854	ENSFM00550000750915
ENSG00000068724	ENSFM00250000002093
ENSG00000109846	ENSFM00500000271109
ENSG00000100316	ENSFM00250000001522
ENSG00000244165	ENSFM00500000270746
ENSG00000131737	ENSFM00440000236862
ENSG00000140455	ENSFM00500000270776
ENSG00000167536	ENSFM00500000269664
ENSG00000187959	ENSFM00500000270472
ENSG00000029534	ENSFM00500000269628
ENSG00000111276	ENSFM00500000271503
ENSG00000130811	ENSFM00500000271482
ENSG00000127220	ENSFM00250000006438
ENSG00000179938	ENSFM00600000921309
ENSG00000130312	ENSFM00500000292072
ENSG00000130311	ENSFM00500000274565
ENSG00000139405	ENSFM00250000009445
ENSG00000153936	ENSFM00290000065564
ENSG00000178081	ENSFM00500000291607
ENSG00000185928	ENSFM00250000009406
ENSG00000148737	ENSFM00250000000570
ENSG00000204392	ENSFM00500000276221
ENSG00000162144	ENSFM00500000271605
ENSG00000235153	ENSFM00550000754418
ENSG00000109118	ENSFM00250000003673
ENSG00000225930	ENSFM00250000020478
ENSG00000166664	ENSFM00480000262741
ENSG00000122958	ENSFM00250000002475
ENSG00000176022	ENSFM00250000006614
ENSG00000184163	ENSFM00500000274875
ENSG00000013364	ENSFM00250000005419
ENSG00000206197	ENSFM00300000085795
ENSG00000187537	ENSFM00500000270649
ENSG00000146399	ENSFM00630001050563
ENSG00000061987	ENSFM00600000921233
ENSG00000074855	ENSFM00500000272498
ENSG00000089053	ENSFM00250000006511
ENSG00000166578	ENSFM00250000008245
ENSG00000179604	ENSFM00250000006209
ENSG00000134461	ENSFM00400000131942
ENSG00000156486	ENSFM00270000056440
ENSG00000134014	ENSFM00250000003649
ENSG00000173193	ENSFM00500000270458
ENSG00000251359	ENSFM00550000761425
ENSG00000069188	ENSFM00260000050437
ENSG00000090097	ENSFM00250000000747
ENSG00000171823	ENSFM00500000272147
ENSG00000103404	ENSFM00260000050633
ENSG00000215644	ENSFM00500000269914
ENSG00000125046	ENSFM00250000007920
ENSG00000075651	ENSFM00250000001375
ENSG00000130299	ENSFM00250000004161
ENSG00000176294	ENSFM00400000131757
ENSG00000140526	ENSFM00250000004594
ENSG00000147443	ENSFM00500000273517
ENSG00000180938	ENSFM00250000000002
ENSG00000131910	ENSFM00500000272237
ENSG00000175707	ENSFM00250000007966
ENSG00000177238	ENSFM00480000262827
ENSG00000102387	ENSFM00250000002692
ENSG00000144744	ENSFM00250000003804
ENSG00000164920	ENSFM00250000002056
ENSG00000165521	ENSFM00520000517835
ENSG00000196860	ENSFM00500000282437
ENSG00000242362	ENSFM00600000921734
ENSG00000196353	ENSFM00560000770964
ENSG00000253368	ENSFM00600000924179
ENSG00000164172	ENSFM00500000272367
ENSG00000070915	ENSFM00260000050342
ENSG00000182652	ENSFM00400000131757
ENSG00000182890	ENSFM00250000001520
ENSG00000176299	ENSFM00400000131757
ENSG00000133136	ENSFM00500000315340
ENSG00000158246	ENSFM00250000001547
ENSG00000176788	ENSFM00600000925161
ENSG00000165762	ENSFM00540000717912
ENSG00000243978	ENSFM00250000010770
ENSG00000176281	ENSFM00540000717912
ENSG00000155249	ENSFM00540000717912
ENSG00000225663	ENSFM00550000760263
ENSG00000169488	ENSFM00540000717912
ENSG00000090020	ENSFM00250000000323
ENSG00000224236	ENSFM00250000005296
ENSG00000169484	ENSFM00540000717912
ENSG00000137135	ENSFM00250000006102
ENSG00000176253	ENSFM00540000717912
ENSG00000250584	ENSFM00600000945031
ENSG00000168385	ENSFM00600000921145
ENSG00000176246	ENSFM00540000717912
ENSG00000176230	ENSFM00540000717912
ENSG00000176134	ENSFM00620001001876
ENSG00000104331	ENSFM00250000004572
ENSG00000140632	ENSFM00250000005562
ENSG00000130227	ENSFM00250000001821
ENSG00000181433	ENSFM00500000281811
ENSG00000151718	ENSFM00570000851158
ENSG00000169122	ENSFM00500000272914
ENSG00000257297	ENSFM00640001106626
ENSG00000206245	ENSFM00300000079215
ENSG00000204779	ENSFM00500000272558
ENSG00000134452	ENSFM00250000006982
ENSG00000120616	ENSFM00250000001732
ENSG00000162433	ENSFM00500000270040
ENSG00000067798	ENSFM00250000000514
ENSG00000126822	ENSFM00380000124706
ENSG00000132305	ENSFM00250000002778
ENSG00000174514	ENSFM00250000003906
ENSG00000147642	ENSFM00250000002727
ENSG00000168702	ENSFM00570000851156
ENSG00000254019	ENSFM00600000945529
ENSG00000047932	ENSFM00250000005146
ENSG00000205318	ENSFM00250000000955
ENSG00000204882	ENSFM00320000100263
ENSG00000130816	ENSFM00250000002189
ENSG00000206513	ENSFM00500000276693
ENSG00000100575	ENSFM00500000277510
ENSG00000257118	ENSFM00640001106157
ENSG00000225412	ENSFM00570000851664
ENSG00000172354	ENSFM00250000000545
ENSG00000124313	ENSFM00250000001463
ENSG00000187151	ENSFM00440000237010
ENSG00000120805	ENSFM00500000269612
ENSG00000094796	ENSFM00440000236862
ENSG00000112299	ENSFM00250000001708
ENSG00000077327	ENSFM00250000004434
ENSG00000182674	ENSFM00270000056440
ENSG00000158711	ENSFM00600000921286
ENSG00000063015	ENSFM00250000001049
ENSG00000108417	ENSFM00440000236862
ENSG00000114993	ENSFM00250000002100
ENSG00000142319	ENSFM00500000269671
ENSG00000206512	ENSFM00430000230074
ENSG00000119203	ENSFM00280000058718
ENSG00000104549	ENSFM00250000006130
ENSG00000114423	ENSFM00250000001327
ENSG00000137345	ENSFM00380000124712
ENSG00000118702	ENSFM00600000923452
ENSG00000171360	ENSFM00440000236862
ENSG00000184659	ENSFM00500000272558
ENSG00000147996	ENSFM00250000002195
ENSG00000108759	ENSFM00440000236862
ENSG00000158715	ENSFM00260000051171
ENSG00000204390	ENSFM00250000000069
ENSG00000101363	ENSFM00500000280283
ENSG00000197079	ENSFM00440000236862
ENSG00000186399	ENSFM00600000921309
ENSG00000006831	ENSFM00500000270013
ENSG00000069275	ENSFM00600000921550
ENSG00000178115	ENSFM00500000276489
ENSG00000197122	ENSFM00250000000068
ENSG00000175344	ENSFM00480000262741
ENSG00000169900	ENSFM00500000293355
ENSG00000101938	ENSFM00570000851140
ENSG00000184394	ENSFM00400000131757
ENSG00000196832	ENSFM00560000770979
ENSG00000183060	ENSFM00500000273026
ENSG00000176219	ENSFM00560000770979
ENSG00000186815	ENSFM00250000006163
ENSG00000102226	ENSFM00570000851025
ENSG00000171311	ENSFM00500000271094
ENSG00000198738	ENSFM00500000411870
ENSG00000116675	ENSFM00250000001678
ENSG00000117280	ENSFM00280000058729
ENSG00000151413	ENSFM00500000270789
ENSG00000168830	ENSFM00500000269731
ENSG00000169896	ENSFM00500000269709
ENSG00000125675	ENSFM00440000236838
ENSG00000244187	ENSFM00600000926902
ENSG00000135346	ENSFM00500000283801
ENSG00000168040	ENSFM00500000274187
ENSG00000155660	ENSFM00570000851509
ENSG00000166619	ENSFM00500000274470
ENSG00000116663	ENSFM00500000270014
ENSG00000093134	ENSFM00250000001708
ENSG00000178878	ENSFM00250000009462
ENSG00000163492	ENSFM00440000236963
ENSG00000166211	ENSFM00500000272971
ENSG00000215621	ENSFM00550000754994
ENSG00000164465	ENSFM00250000002134
ENSG00000118785	ENSFM00250000005452
ENSG00000095981	ENSFM00640001103093
ENSG00000182676	ENSFM00500000275154
ENSG00000026652	ENSFM00250000002628
ENSG00000196924	ENSFM00250000000494
ENSG00000185624	ENSFM00520000517800
ENSG00000110492	ENSFM00600000922308
ENSG00000147601	ENSFM00250000004074
ENSG00000133065	ENSFM00250000001027
ENSG00000116670	ENSFM00250000008463
ENSG00000072501	ENSFM00500000269864
ENSG00000242612	ENSFM00500000271453
ENSG00000055211	ENSFM00250000008565
ENSG00000160087	ENSFM00500000270750
ENSG00000100321	ENSFM00500000271409
ENSG00000115474	ENSFM00550000743144
ENSG00000160408	ENSFM00250000001149
ENSG00000213782	ENSFM00420000140550
ENSG00000226260	ENSFM00500000269609
ENSG00000142784	ENSFM00250000004605
ENSG00000188994	ENSFM00250000001845
ENSG00000162877	ENSFM00500000271359
ENSG00000182308	ENSFM00250000004241
ENSG00000176198	ENSFM00560000770979
ENSG00000014824	ENSFM00250000002884
ENSG00000162949	ENSFM00250000000112
ENSG00000149483	ENSFM00250000006852
ENSG00000196091	ENSFM00570000851063
ENSG00000053438	ENSFM00500000284148
ENSG00000136319	ENSFM00250000006104
ENSG00000182600	ENSFM00500000299134
ENSG00000165271	ENSFM00250000002687
ENSG00000145526	ENSFM00260000050333
ENSG00000132792	ENSFM00250000004777
ENSG00000227567	ENSFM00250000010730
ENSG00000138031	ENSFM00570000850984
ENSG00000143013	ENSFM00500000271097
ENSG00000258474	ENSFM00640001119983
ENSG00000258386	ENSFM00640001119984
